Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
5,0,0,0,0
10,0,0,0,0
15,10,10,0,0
20,10,10,0,0
25,10,10,0,0
30,11,11,0,0
35,12,12,0,0
40,12,12,0,0
45,12,12,0,0
50,12,12,0,0
55,12,12,0,0
60,12,12,0,0
65,12,12,0,0
70,13,13,0,0
75,14,14,0,0
80,14,14,0,0
85,13,13,0,0
90,14,13,0,0
95,15,15,0,0
100,15,15,0,0
105,15,15,0,0
110,15,15,0,0
115,13,13,0,0
120,13,13,0,0
125,15,15,0,0
130,15,14,0,0
135,15,14,0,0
140,14,13,0,0
145,14,14,0,0
150,14,14,0,0
155,13,13,0,0
160,13,12,0,0
